,CARD,DECK,BALLOT,S204.Q1,S204.Q2,S204.Q3,S204.Q4,S204.Q5,S204.Q6,S204.Q7,S204.Q8,S204.Q9,S204.Q10,S204.Q11,S204.Q12.n,S204.Q13,S204.Q14,S204.Q15,S204.Q16,S204.Q17,S204.Q18,S204.Q19,S204.Q20,S204.Q21,S204.Q22,S204.Q23,S204.Q24,S204.Q25,S204.Q26
91,1.0,204.0,92.0,4.0,1.0,4.0,3.0,5.0,2.0,5.0,5.0,1.0,2.0,4.0,,2.0,2.0,3.0,3.0,3.0,1.0,7.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0
92,1.0,204.0,93.0,5.0,1.0,3.0,1.0,5.0,2.0,4.0,5.0,4.0,2.0,2.0,,2.0,1.0,2.0,3.0,1.0,3.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
93,1.0,204.0,94.0,5.0,1.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,5.0,,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0
94,1.0,204.0,95.0,5.0,1.0,2.0,5.0,6.0,2.0,1.0,1.0,1.0,2.0,4.0,,2.0,2.0,2.0,2.0,3.0,3.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
95,1.0,204.0,96.0,4.0,1.0,4.0,2.0,4.0,2.0,5.0,5.0,1.0,2.0,2.0,,2.0,1.0,1.0,2.0,3.0,3.0,9.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0
96,1.0,204.0,97.0,4.0,1.0,3.0,1.0,3.0,2.0,5.0,5.0,1.0,2.0,5.0,,2.0,2.0,2.0,2.0,4.0,2.0,9.0,1.0,3.0,3.0,3.0,0.0,2.0,1.0
97,1.0,204.0,98.0,5.0,1.0,4.0,1.0,7.0,2.0,5.0,5.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,4.0,3.0,9.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0
98,1.0,204.0,99.0,6.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,1.0,2.0,3.0,,1.0,1.0,2.0,1.0,4.0,4.0,9.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
99,1.0,204.0,100.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,2.0,3.0,,2.0,2.0,2.0,3.0,3.0,3.0,10.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0
100,1.0,204.0,101.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,,1.0,0.0,2.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
101,1.0,204.0,102.0,0.0,2.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0
102,1.0,204.0,103.0,3.0,2.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0
103,1.0,204.0,104.0,5.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,2.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0
104,1.0,204.0,105.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,2.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
105,1.0,204.0,106.0,3.0,2.0,1.0,0.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,,1.0,2.0,0.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0
