COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71
1,135,974,1,1,3,3,4,5,1,1,23,3,6,1,2,2,5,1,1,3,4,11,4,7,1,2,6,3,2,2,1,2,2,2,3,4,2,10,10,1,3,1,1,1,1,4,1,5,6,3,2,1,3,,213,5097,4,1,1,1,1,1,4,1,3,3,1,30,60,500
1,135,975,1,1,8,8,4,6,2,1,23,11,8,4,2,2,2,1,2,8,2,2,6,7,2,2,6,3,2,2,1,1,2,1,2,2,10,1,10,3,3,3,5,1,2,3,1,5,6,2,1,1,3,,213,5097,5,1,3,1,3,3,2,1,1,3,2,50,60,400
1,135,976,1,1,7,7,4,4,1,2,21,1,6,2,2,2,2,1,3,8,4,8,7,7,3,3,4,3,2,3,1,1,1,3,2,3,10,1,10,1,3,2,5,1,1,3,1,1,5,2,1,1,3,,213,5097,6,1,2,1,1,1,5,2,2,1,2,50,60,406
1,135,977,1,1,2,2,3,9,1,1,24,3,4,1,2,2,2,1,2,8,2,8,2,3,11,1,2,1,1,1,2,1,1,2,3,7,10,1,10,3,3,2,5,1,1,2,1,1,9,3,1,1,1,,213,5097,7,1,3,1,1,1,2,1,3,1,2,50,50,205
1,135,978,1,1,1,7,3,5,1,2,27,8,3,2,2,3,2,1,2,8,2,6,3,6,11,2,6,1,1,2,2,1,2,2,3,10,10,10,10,3,3,1,5,2,3,2,2,5,6,3,2,1,3,,213,5097,8,1,1,1,1,2,5,1,3,3,2,10,0,203
1,135,979,1,1,3,2,3,8,2,1,17,5,11,1,1,3,2,1,3,8,2,4,11,3,11,2,2,1,1,2,1,1,1,2,3,6,1,10,1,1,3,2,5,1,3,2,1,5,9,3,3,1,1,,213,5097,9,1,3,1,1,3,3,1,3,3,2,51,0,205
1,135,980,1,1,4,3,3,6,2,1,25,3,6,2,2,2,2,2,2,8,2,6,3,6,11,1,3,1,1,0,1,1,2,3,2,8,10,1,10,3,2,2,5,2,3,3,1,3,6,2,2,3,1,,213,5098,0,1,3,1,1,3,1,1,3,4,2,50,0,207
1,135,981,1,1,2,2,3,9,3,2,27,1,2,4,2,2,2,2,2,8,1,4,2,2,11,3,4,1,1,2,2,1,2,2,3,8,1,10,1,3,2,2,1,1,2,3,1,5,7,1,2,1,3,,213,5098,1,1,3,1,1,3,5,1,2,4,1,10,20,203
1,135,982,1,1,11,3,2,9,1,2,22,11,2,1,2,1,0,1,2,8,2,8,1,3,1,1,3,1,2,3,1,2,2,3,2,4,10,10,10,1,2,3,2,3,1,1,1,5,5,3,1,1,3,,213,5098,2,1,3,1,2,1,2,3,3,3,2,40,0,406
1,135,983,1,1,9,5,3,8,2,1,8,11,4,1,1,1,1,2,2,8,2,9,3,3,1,1,2,1,2,4,2,1,1,3,1,1,10,1,10,1,2,3,5,3,1,3,1,5,8,3,1,1,2,,213,5098,3,1,2,1,3,2,5,3,3,3,2,50,70,101
