COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41,COL42,COL43,COL44,COL45,COL46,COL47,COL48,COL49,COL50,COL51,COL52,COL53,COL54,COL55,COL56,COL57,COL58,COL59,COL60,COL61,COL62,COL63,COL64,COL65,COL66,COL67,COL68,COL69,COL70,COL71,COL72,COL73,COL74,COL75,COL76,COL77,COL78,COL79,COL80,COL81,COL82,COL83,COL84,COL85
1,79,1099,1,4,4,2,5,4,1,2,1,4,2,2,2,1,0,2,2,3,2,2,2,2,2,2,3,1,4,3,3,1,1,1,3,1,2,3,3,2,3,1,2,2,2,4,6,4,1,4,3,2,2,2,2,2,2,2,2,2,3,3,2,1,3,3,,207,9109,9,4,3,4,4,4,3,4,1,1,2,1,2,2,400534
1,79,1100,1,4,7,5,5,1,5,3,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,4,3,1,1,2,3,3,5,3,3,1,1,2,1,1,1,1,10,4,2,2,3,3,3,1,3,2,1,1,1,1,2,3,1,1,1,1,2,,207,9110,0,1,2,2,1,2,3,4,1,3,1,1,2,2,400561
1,79,1101,3,4,6,1,5,5,1,2,1,4,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,3,3,4,3,2,2,1,2,3,3,1,1,2,4,1,2,4,2,5,1,1,2,3,4,3,3,3,2,0,2,0,0,2,3,1,2,1,2,2,,207,9110,1,4,4,4,4,3,3,4,1,2,1,1,2,2,400346
1,79,1102,1,4,3,3,1,1,5,3,1,5,1,1,2,1,1,1,1,1,1,1,1,3,1,2,3,2,2,3,2,1,1,11,2,11,3,3,2,2,3,2,3,1,2,4,2,4,1,2,2,2,2,4,3,2,2,1,1,2,2,2,2,3,1,2,,207,9110,2,4,2,2,2,2,3,4,5,4,3,1,2,2,400462
1,79,1103,3,4,6,1,2,1,5,3,1,4,2,2,1,2,2,3,1,2,2,1,1,1,1,2,2,5,3,2,5,1,1,2,2,4,3,1,1,5,1,2,3,2,2,4,1,4,1,3,3,3,3,2,2,2,2,1,1,2,3,2,3,2,1,4,,207,9110,3,5,2,3,3,2,3,4,5,4,1,1,2,2,300935
1,79,1104,3,4,6,6,3,1,5,3,1,4,2,1,1,1,2,1,1,2,2,1,1,4,3,1,2,1,3,2,1,4,1,3,3,3,3,1,1,2,2,1,1,1,2,5,1,1,2,3,2,3,1,1,1,1,1,1,1,2,3,1,2,2,2,3,,207,9110,4,1,2,2,1,1,3,4,1,3,2,1,2,2,301191
1,79,1105,2,4,6,1,5,1,5,3,1,4,2,1,3,1,3,1,1,1,1,1,1,5,2,5,3,3,4,5,3,2,1,1,3,3,3,3,1,1,2,2,1,3,2,2,1,2,1,4,1,3,3,2,2,1,1,1,1,3,2,2,3,2,1,2,,207,9110,5,3,4,4,4,4,3,4,2,2,2,1,2,2,300721
1,79,1106,4,4,7,2,5,1,5,3,1,4,2,1,1,3,2,1,1,1,1,1,1,3,2,2,2,2,4,4,1,2,1,3,3,5,3,1,2,1,3,1,1,1,2,3,1,3,1,2,3,3,1,2,1,2,1,1,1,1,2,1,2,1,2,1,,207,9110,6,1,1,2,2,1,3,4,1,1,1,1,2,2,400643
1,79,1107,4,4,3,5,1,5,1,1,2,6,1,4,0,1,2,1,1,2,1,2,1,1,1,2,1,1,3,1,1,1,11,1,1,1,2,3,1,2,2,1,1,1,2,2,3,2,1,3,6,3,2,2,2,1,1,1,1,2,2,1,2,1,2,2,,207,9110,7,2,2,2,2,2,1,4,1,4,1,1,2,2,400293
1,79,1108,2,3,7,9,5,1,5,3,2,2,2,4,2,1,1,1,2,2,1,2,2,4,2,3,2,2,4,4,4,1,3,1,2,1,1,1,1,3,4,3,4,3,1,10,1,10,4,3,5,3,2,3,2,2,2,1,1,4,1,2,2,1,1,4,,207,9110,8,4,4,4,4,4,3,2,1,4,4,1,2,2,101045
